2024-10-09 at 19:22:32 | INFO | Configuration loaded:
2024-10-09 at 19:22:32 | INFO | LOG_LEVEL: INFO
2024-10-09 at 19:22:32 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 19:22:32 | INFO | USERS_TABLE: users
2024-10-09 at 19:22:32 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 19:22:32 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 19:22:33 | INFO | Configuration loaded:
2024-10-09 at 19:22:33 | INFO | LOG_LEVEL: INFO
2024-10-09 at 19:22:33 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 19:22:33 | INFO | USERS_TABLE: users
2024-10-09 at 19:22:33 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 19:22:33 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 19:59:58 | INFO | Configuration loaded:
2024-10-09 at 19:59:58 | INFO | LOG_LEVEL: INFO
2024-10-09 at 19:59:58 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 19:59:58 | INFO | USERS_TABLE: users
2024-10-09 at 19:59:58 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 19:59:58 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 19:59:59 | INFO | Configuration loaded:
2024-10-09 at 19:59:59 | INFO | LOG_LEVEL: INFO
2024-10-09 at 19:59:59 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 19:59:59 | INFO | USERS_TABLE: users
2024-10-09 at 19:59:59 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 19:59:59 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:03:41 | INFO | Configuration loaded:
2024-10-09 at 20:03:41 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:03:41 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:03:41 | INFO | USERS_TABLE: users
2024-10-09 at 20:03:41 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:03:41 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:03:42 | INFO | Configuration loaded:
2024-10-09 at 20:03:42 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:03:42 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:03:42 | INFO | USERS_TABLE: users
2024-10-09 at 20:03:42 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:03:42 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:05:20 | INFO | Configuration loaded:
2024-10-09 at 20:05:20 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:05:20 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:05:20 | INFO | USERS_TABLE: users
2024-10-09 at 20:05:20 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:05:20 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:05:21 | INFO | Configuration loaded:
2024-10-09 at 20:05:21 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:05:21 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:05:21 | INFO | USERS_TABLE: users
2024-10-09 at 20:05:21 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:05:21 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:12:10 | INFO | Configuration loaded:
2024-10-09 at 20:12:10 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:12:10 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:12:10 | INFO | USERS_TABLE: users
2024-10-09 at 20:12:10 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:12:10 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:12:12 | INFO | Configuration loaded:
2024-10-09 at 20:12:12 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:12:12 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:12:12 | INFO | USERS_TABLE: users
2024-10-09 at 20:12:12 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:12:12 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:14:16 | INFO | Configuration loaded:
2024-10-09 at 20:14:16 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:14:16 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:14:16 | INFO | USERS_TABLE: users
2024-10-09 at 20:14:16 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:14:16 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:14:17 | INFO | Configuration loaded:
2024-10-09 at 20:14:17 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:14:17 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:14:17 | INFO | USERS_TABLE: users
2024-10-09 at 20:14:17 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:14:17 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:15:50 | INFO | Configuration loaded:
2024-10-09 at 20:15:50 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:15:50 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:15:50 | INFO | USERS_TABLE: users
2024-10-09 at 20:15:50 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:15:50 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:15:51 | INFO | Configuration loaded:
2024-10-09 at 20:15:51 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:15:51 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:15:51 | INFO | USERS_TABLE: users
2024-10-09 at 20:15:51 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:15:51 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:18:10 | INFO | Configuration loaded:
2024-10-09 at 20:18:10 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:18:10 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:18:10 | INFO | USERS_TABLE: users
2024-10-09 at 20:18:10 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:18:10 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:18:11 | INFO | Configuration loaded:
2024-10-09 at 20:18:11 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:18:11 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:18:11 | INFO | USERS_TABLE: users
2024-10-09 at 20:18:11 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:18:11 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:19:26 | INFO | Configuration loaded:
2024-10-09 at 20:19:26 | INFO | LOG_LEVEL: INFO
2024-10-09 at 20:19:26 | INFO | MAX_REQUESTS_PER_MINUTE: 300
2024-10-09 at 20:19:26 | INFO | USERS_TABLE: users
2024-10-09 at 20:19:26 | INFO | SUPABASE_URL: https://ystmtmuwsoanjclgpcge.supabase.co
2024-10-09 at 20:19:26 | INFO | TELEGRAM_BOT_TOKEN: 75345293...2of0
2024-10-09 at 20:19:27 | INFO | Configuration loaded:
2024-10-09 at 20:19:27 | INFO | LOG_LEVEL: INFO
